tweetid,Tweet,For guns?,Location
23,@dbongino @RaspanteYvonne In order to reach Dems progressive goal of Communism liberal style they must have gun control.,-2,"Oregon, USA"
24,@ed_grimly @HuffPost no it's not and most of Americans will agree with me because most people want common sense gun laws,-2,"Garland, TX"
25,"As crazy as shit has been in our country, it's been a while since I have been shocked. My mouth is agape. @NRA #NRAIsATerroristOrganization ",-2,"Georgia, USA"
26,"@NRA You idiots in the NRA should be ashamed of your greedy behavior.   America has spoken and we don't want your fricking guns! It's not the old West and crazy kids crazy adults don't have any right to shoot machine guns on campus! No teacher should carry either,  that's just dumb!",-2,"Irvine, CA"
27,"Federalism is only cool when it's not on immigration or guns, apparently. Unless of course it's concealed carry. Also perfectly ok with voting rights, civil rights, education and health care.",-2,"South Carolina, USA"
28,@GrnEyedMandy More guns in school as the solution to guns going off in school is unfathomably stupid,-2,"Orlando, FL"
29,Fing democrat libtard ,-2,"Cherry Hill, VA"
30,Drinking a Water Guns and Rainbows by @ludlamisland at @goodnightirenes — ,-2,"Wildwood, NJ"
31,It is time to push the agenda when CHILDREN ARE DYING FROM THE PEW PEW YOU THINK WE NEED MORE OF. I’ve grown up with guns and support the want for them in the home but no one needs a gun that shoots more than two bullets a minute. ,-2,"Florida, USA"
32,@realDonaldTrump @TurnbullMalcolm Just remind him to keep his very arbitrary and fouled up gun control over there and keep his opinions about our 2A to himself along with their past progressive leaders,-2,"Florida, USA"
33,Didn't even think about the people who already own guns between age 18-20 ...stupid politicians ,-2,"Colorado Springs, CO"
34,"@tonyposnanski @FPU44 OBAMA LET HIS “FRIENDS” do his DIRTY DEEDS. I can name so many.especially loved the open mic with the Russian President.would trump sell guns to Mexican Criminal Cartel? NEVER. POTUS TRUMP LOVES AMERICA.
do you?",-2,"Palm Desert, CA"
35,"Criminals obey #GunControl laws like Politicians obey their #Oath of office.

Gun Control doesn't work. Why not? Because #gov does nothing about STREET sales. It regulates consumer sales. Criminals can buy any weapon of choice. Consumers cannot. ",-2,"Chicopee, MA"
36,@SenFeinstein ,-2,"Friendswood, TX"
37,That's not gunfire... that's #PepperBalls #FridayFeeling #AnotherRoundOfPepperBalls ,-2,"California, USA"
38,"the first four words of this make me laugh because he called her illiterate yet used the wrong “your,” I couldn’t even finish reading because it’s already so painful lmao ",-2,"South Carolina, USA"
39,Word spreads fast ,-2,"Houston, TX"
40,Screw anyone trying to limit someones 2nd amendment ...I know if I was 18-20 (I'm 26!) I wouldn't support this crap one bit. Politicians are idiots and protesters/gun control advocates are emotional symptom oriented people that do not care about solutions.,-2,"Colorado Springs, CO"
41,"@marcorubio @WhiteHouse @POTUS @realDonaldTrump Ummm hello, every country in the world has video games. Only the US has school shootings once a month.",-2,"Frederick, CO"
42,Greedy morons ,-2,"Memphis, TN"
43,You brain is either a goldmine or it can be a garbage can... Lots of Americans have bad mental health which contributes more than anything to making the wrong decisions &amp; puts kids on psychopathic and criminal paths but no just take away the right &amp; our children will be safe 😂 ,-2,"Colorado Springs, CO"
44,He said I done had all the guns never hadda cheat code😂,-2,"New London, CT"
45,The @NRA only cares about their money not the safety of the American people.  This is just absurd. ,-2,"Los Angeles, CA"
46,"Hangin' with the goodie-goodies loungin' in paradise
Fuck that shit, I wanna tote guns and shoot dice
All my life I been considered as the worst
Lyin' to my mother, even stealin' out her purse ",-2,"Copperas Cove, TX"
47,@ananavarro @FLGovScott Are you the Queen of compromise?  More guns equals more gun related deaths. That is not a compromise. That is the far right feigning a compromise.,-2,"Newton, MA"
48,"@NBCNews @joshtpm Unsurprising. 

cc/ 
@apple
@tim_cook 
Are you sure you want to continue to give the NRATV a platform to disseminate NRA propaganda and promote gun sales? The NRA has no interest in meaningful gun control. This strikes me as totally contrary to Apple’s values.",-2,"Oakland, CA"
49,Finally ! ,-2,"Houston, TX"
50,"@nra will be remembered by history as an organization that lost its way in 1970 as it formed into a terrorist movement by the turn of the century. 
I vow to fight their call for violence. #NeverAgain #MarchForOurLives #MomsDemandAction ",-2,"Tulsa, OK"
51,🙄 ,-2,"Brooklyn, NY"
52,@NRA really ? Just stop how do you sleep at night oh I know with an AK15 #NeverAgain #GunReform ,-2,"West Seneca, NY"
53,bye nigga ,-2,"Houston, TX"
54,"Thoughts and prayers NRA🙏
Now is NOT the time to talk about this❤️new law ",-2,"Salem, NH"
55,,-2,"Greensboro, NC"
56,"@Chris4943 @EdKrassen No disagreement. Schools are safest place for our kids.38-56 homicides per year,52 million students.Issue is we've radicalized gun  just sued  destroyed NICS in  $1K Colt and SW need the AR15 sales.",-2,"West Yarmouth, MA"
57,Terrorist organization #nra ,-2,"Brooklyn, NY"
58,LOL ,-2,"Las Vegas, NV"
59,I believe the constitution says well regulated.  Hope this gets thrown out. ,-2,"Greenville, KY"
60,Ted Cruz is spinning his lies on all the talk shows. He should be ashamed for lying ,-2,"Washington, USA"
61,"Eric Holder illegally smuggled guns to Cartels in Mexico. Supposedly to trace Cartel movements. Ended up getting Border Patrol officer killed with same guns. Eric Holder, real fart smeller. Yes I wrote that correctly. Although not PC. ",-2,"Enchanted Oaks, TX"
62,@karlimichelle_ “People die everyday” ...in school shootings? A school shooting is a school shooting at any caliber is a serious event and the loss of a life is as well,-2,"Lafayette, LA"
63,Why? No one is taking their guns away...u can still get a GD assault rifle! ,-2,"Oxnard, CA"
64,#NRAISATERRORISTORGANIZATION ,-2,"New York, USA"
65,@FriendlyRadical @lorrainekaack @FredCapolongo @SluvsO777 @Education4Libs Personally I don't care for guns but I still don't agree with discriminating somebody on age if it's legal to purchase it they should be able to purchase it and they have the proper permits,-2,"Springfield, MA"
66,“People die everyday” ...in school shootings? A school shooting is a school shooting at any caliber is a serious event and the loss of a life is as well ,-2,"Lafayette, LA"
67,"🖕🏽NRA
#BanAssaultWeapons 🇺🇸 ",-2,"Azusa, CA"
68,Another 🦇 shit crazy RWNJ! ,-2,"Florida, USA"
69,Going from indifferent to hating the NRA. ,-2,"Marshfield Hills, MA"
70,So very frightening &amp; something Vets don’t need this either. May there please be resolution without loss of life! ,-2,"Montclair, NJ"
71,"@dilemmv A bunch of states have the dumb teacher gun law. But it requires the school districts to request it, and none do because schools don't want guns",-2,"Fitchburg, WI"
72,🤣🤣🤣 ,-2,"Charlotte, NC"
73,"Then we need to sue the NRA for promoting death by selling weapons of war to civilians 💯
#SuetheNRA🇺🇸 ",-2,"California, USA"
74,"@TheTweetwit Due to increased firearms activity nationwide, Amazon has reduced the price of its ""small school size"" carton of thoughts and prayers to $29.99",-2,"New York, USA"
75,"@cwoolley06 Not me. Dont need gun control here. 
My Gun Control. 
Loaded or un loaded.",-2,"Enchanted Oaks, TX"
76,"Age of voting = 18
Age of firearms purchase (except handguns) = 18

I don’t think the NRA is advocating raising the voting age. ",-2,"Ann Arbor, MI"
77,@NativeTexan74 @Alyssa_Milano @NRA Umm... The NRA does not sell guns.,-2,"Fallon, NV"
78,"Hey, @NRA instead of suing Florida for  trying to protect people, why not do something useful and actually help prevent school shootings so we don't have to make such laws. Thanks babes. 
😙😙😙😙",-2,"Wisconsin Rapids, WI"
79,Guns blazing. ,-2,"Dade City, FL"
80,Jerks ,-2,"North Carolina, USA"
81,#ConorLambForCongress ,-2,"Pittsburgh, PA"
82,Bite me. ,-2,"Chicago, IL"
83,"@TigerWieseJones @MichaelSkolnik @Emma4Change wow that is a pretty freaking big list. and that's only school shootings.

want another mind blower?
all of those (and the others types) have only 1 common thing.
the one thing the NRA (or NRA programmed drones) won't point out.
all involved a gun.",-2,"Cleveland, OH"
84,Don’t these anti gun nuts understand that if they don’t trust themselves with guns they don’t have to own one,-2,"North Carolina, USA"
85,the fight continues... ,-2,"Manhattan, NY"
86,"Fuck em, wait , why are y’all covering this fool anyways ",-2,"Houston, TX"
87,"Hang in there, kids.  My generation eventually ended Vietnam.  You CAN prevail. ",-2,"Fort Mill, SC"
88,@russell22powell ,-2,"Florida, USA"
89,Sorry asses ,-2,"Florence, SC"
90,"New Florida law would not have stopped Cruz school shooting.
Only armed school personnel in presence of children can stop a shooter who has already violated many local, state and federal gun laws and found a way into presence of defensless children. 
Keep 2nd Ammendment in force.",-2,"Mount Vista, WA"
91,Really girl? ,-2,"Hampton, VA"
92,".We got you, baby girl☝🏾! #blackgirlsmagic ",-2,"Santa Monica, CA"
93,........i kinda thought being a state representative meant listening to the everyone...................... ,-2,"Houston, TX"
94,"Of course they did...

""NRA sues Florida to block new gun control law""

",-2,"San Diego, CA"
95,The NRA on Florida’s new gun laws @wsvn ,-2,"Tallahassee, FL"
96,"Last time I checked, a crayon never murdered 17 students and teachers in cold blood🤷🏼‍♂️ ",-2,"Franklin, MA"
97,Goooooood ,-2,"Los Angeles, CA"
98,"@LevineJonathan And the “adults” are really wise and doing a great job! That’s why the children are dying. We act like spoiled children, kicking and screaming about the guns. Well my money is on the children because they have exhibited wisdom and courage in the face of the terrorist, the NRA.",-2,"Solvay, NY"
99,"@tom_news2 @JulieAnnSilver @kerry_mccracken @funder So their guns make them American, being straight &amp; white makes them Christian...Tell that to God.",-2,"Farmington, UT"
100,Did the NRA file a lawsuit over the federal law which states that it is illegal for federally licensed dealers to sell you a handgun or ammunition for a handgun under 21? ,-2,"Covina, CA"
101,@TomiLahren Did Florida’s new gun laws go too far?,-2,"Sunrise, FL"
102,@The_UnSilent_ @DLoesch You are actually putting kids in danger. Maybe this is an issue for Child Protective Services!            ,-2,"Pennsylvania, USA"
103,"So, what does this mean? Theoretically a court could say female teens in Florida could still buy guns but teenage men could not. 

#StonemanDouglasHS #StonemanDouglasHighSchool #NRAvBondi #Lawsuit",-2,"Washington, DC"
104,"Its less then ethicle,to take away American rights because of devious mindsets of whom ever.Or worse ,lack of trained oath takers

Florida Gov. Rick Scott signs gun bill ",-2,"Winston, FL"
105,"This pic is disrespectful to our Flag! Not taking a knee! Making Guns a bigger right than life itself!
🖕🏽The NRA
#BanAssaultWeapons 🇺🇸 ",-2,"California, USA"
106,Hahaha fuck off @NRA ,-2,"Orange, CA"
107,Good. I'm happy for any judicial office to actually read the 2nd amendment. Especially that bit about 'well regulated militia'. ,-2,"Cambridge, MA"
108,Good guy with a gun!!! #NRASucks @NRA IS GOING DOWN!!! #TeachersAndGunsDontMix #GoodGuyWithAGun ,-2,"Missoula, MT"
109,@LorenDiGiorgi @AP I disagree. The right to marry is constitutional and states can set rules such as age restrictions which are not seen to infringe on that right. How is an age restriction set by a state for guns any different?,-2,"Philadelphia, PA"
110,Fuck the @NRA 🖕🏼🖕🏼 ,-2,"West Babylon, NY"
111,You notice trump don’t mention this anymore!!! ,-2,"Tennessee, USA"
112,@NativeTexan74 @Alyssa_Milano @NRA They don't sell guns.,-2,"Fallon, NV"
113,Oh well Fl signs the gun bill not that it’s all that bad but was passed on emotion not facts. MANY MAY HAVE THEIR RIGHTS COMPROMISED TO SATIFY THE EMOTIONS OF A FEW. THE TRUE GUILTY HERE WERE THE FEDS AND BROWARD SHERIFF OFFICE ALLIED TO OBAMA CLINTON AGENDA TRUE JUSTICE ????,-2,"Palm Harbor, FL"
114,#ReadyPlayerDumb 😂 ,-2,"Garfield, NJ"
115,"@Chris4943 @EdKrassen Really.Fully realize U.S. awash in guns, most of them in the hands of unvetted legal gun owners.Simply sad that the stats are what they are, horrible domestic homicide rate unquestionably driven by the presence of firearms. Anyways.",-2,"West Yarmouth, MA"
116,Please hire Michael Cohen!!! ,-2,"Tennessee, USA"
117,@JayValenz67 Agree with you 100% To many things are pushed aside  weather overwhelming over worked as some in social Services are see I do not blame the FBI they also relied on information from other agencies ! I pray those guns are ban when someone  get courageous,-2,"Cheektowaga, NY"
118,A Republican with a conscience and some courage.  How refreshing. ,-2,"Fort Mill, SC"
119,never a dull moment when you live in the sunshine state ,-2,"Azalea Park, FL"
120,@sppeoples @DavidMDrucker The same people who think a store must sell guns to children think a bakery has a right not to sell a cake to gay people though.,-2,"Washington, DC"
121,"@USATODAY Suing the state to allow individuals to buy guns when they still need to mature as individuals to be able to carry a gun, the NRA does not represent all of our rights nor all of our values.   I do not support the NRA, I support the right for life and being able to feel safe.",-2,"Santa Rosa, CA"
122,I’M YELLING😂😂😂😂😂😩 ,-2,"Lancaster, NY"
123,"@NRA you guys are A+ pieces of shit, aren’t you? ",-2,"La Grange Park, IL"
124,why do I know too many people that would fit this narrative perfectly ,-2,"Los Angeles, CA"
125,Actually it's not fine you have to be 21 to buy a beer and btw how effective are those laws as 18 to 31 folks obtain booze? ,-2,"Louisiana, USA"
126,"@davidhogg111 Not only that, don't be surprised when they sneak a provision loosening these new gun control regulations into a clean water bill or a disaster relief bill, or a school funding bill. #NeverAgain",-2,"Prescott, AZ"
127,"@sweetviolet79 @GadsdenRattler_ @CNN @NRA Nah...healthcare is too expensive and hard to obtain. Buy guns, not glasses, it’s easier. 👓 🙄",-2,"Lewiston, ME"
128,Why do we need MORE gun and immigration laws?? Wouldn't enforcing the ones already on the books suffice??,-2,"Drexel, NC"
129,And yet why people are so upset with the NRA remains a total mystery to many conservatives. ,-2,"Manhattan, NY"
130,She’s not going to call out the Marxist but I will! ,-2,"Alabama, USA"
131,Disturbing ,-2,"Miami Lakes, FL"
132,"FL lawmaker: Kids aren’t smart enough to make laws.

Also FL lawmaker: “We has the wisdom.” ",-2,"Picnic Point, WA"
133,@ChiSportsHomer @Texolinagan @AP To the #NRA that’s money lost. So it’s a harm to them. They don’t give a shit about how many people are killed with guns.,-2,"Manhattan, NY"
134,"@Blinke11 @saltyconchy @Christi77929362 @KayBear54 @GitcheeGu @NRA As @Potus bows to the #NRA, it is up to us to back the students who dared to fight back against “thoughts and prayers” instead of action against gun violence. #NRABloodOnYourHands 
.
",-2,"Los Angeles, CA"
135,Finally! ,-2,"Houston, TX"
136,Guns can also save lives #Texas ,-2,"Coppell, TX"
137,Ugly but unsurprising from the NRA ,-2,"Queens, NY"
138,How does this go against the 2nd ammendment? Is there an age limit specified in the amendment? #GunContolNow #SensibleGunLaws #NRA files lawsuit over Florida gun control law  ,-2,"Palatine, IL"
139,"@nelaknight2 @Alyssa_Milano @NRA That's strange. 
  They've never fought for mentally unstable people to buy firearms, children to buy firearms, for school shooters, etc etc. As far as safety,  they are the largest firearms safety organization on the planet.",-2,"Fallon, NV"
140,@parthetis @MyCalVet @DeptVetAffairs This is not 1776 ... most guns are automatic 🙄 ask your friend,-2,"Alabama, USA"
141,"I believe there is always a peaceful way to reach a resolution, but right now the NRA can catch these hands. ",-2,"Montana, USA"
142,Awesome!! 🎸🎧🎶 ,-2,"Nebraska, USA"
143,Unbelievable. ,-2,"Miami, FL"
144,@2Chron169 @CaroleFor45 @DebbieAAldrich @LeahR77 @GrizzleMeister @PatriotLexi @LVNancy @StacyLStiles @steph93065 @KatTheHammer1 @Hoosiers1986 Gee if only he had added an involuntary mental health hold &amp; evaluation on people who have had numerous police interactions w/ documented violent behavior. Guns are not the problem. The unwillingness to address mental health issues is the problem. He sidestepped the problem! SMH,-2,"Hanford, CA"
145,@Syrik_Zero @EAAccess So It's a polished turd set to guns n roses,-2,"Missouri, USA"
146,If you don’t think that the government will take your guns. Well here you go. ,-2,"Indiana, USA"
147,"""And make no mistake: Although the perpetrators of mass school shootings have been almost exclusively white, there’s little doubt that arming teachers will lead disproportionately to the killing — by teachers — of children of color.""

",-2,"Ashtabula, OH"
148,"@PaulRieckhoff @knightchandler7 @TalindaB @iava This is part of the larger question; Should any of the mentally ill be allowed to have guns? 20% of vets return home with a serious mental illness. Break their brains, then take their guns? Doesn’t seem fair.",-2,"San Francisco, CA"
149,Reasons like this is why Guns shouldn’t be taken away!! Thank god to the Samaritan🙌🏼 ,-2,"Midlothian, TX"
150,"Ok.... the first truly negative response on the feed.  I hear ya Spencer, steel however is used in a shit ton of other ways too.  #noguns ",-2,"Washougal, WA"
151,"@antonio_anselmi @AP Marriage is a right, states can decide the age.

Also, please see NRA v. BTAFE (700 F.3d 185) which the Supreme Court declined to hear in 2014. It upheld a federal handgun age restriction.

 ",-2,"Philadelphia, PA"
152,Of course they are... ,-2,"North Carolina, USA"
153,"I look forward to seeing the decrease in gun violence that will be correlated with Bumble disallowing photos with firearms. 

Not all hero’s wear capes",-2,"Culver City, CA"
154,@Variety I just watched the Looney Tunes last night where Bugs Bunny and Yosemite Sam where shooting each other in the face with guns. I don’t remember growing up thinking that entertainment was real. #guncontrol #boycottnra,-2,"Los Angeles, CA"
155,"Man, fuck off @NRA ",-2,"Washington, DC"
156,Guns are available and in broad supply.,-2,"Inglewood, CA"
157,Our sick politicians want more guns.,-2,"Inglewood, CA"
158,"Bye-bye to my childhood. (Hotwheels, Micro-Machines, Batman action figures, WWF wrestling action figures from JAKKS Pacific, Bikes, Super-Soaker water guns, laser tag set, Gameboy Color etc...) ",-2,"Cheval, FL"
159,,-2,"Gilbert, AZ"
160,@wildnestor @danieljgillies All these countries have military guards in and around their schools.   WITH GUNS...,-2,"Wonder Lake, IL"
161,@realDonaldTrump @Saccone4PA18 I just watched him screaming about guns &amp; Bibles. He reminds me of your freak friend Alex Jones.,-2,"Florida, USA"
162,@FrankEckrodeSr @AP Which isn't the issue. The right for a civilian to purchase guns is the issue. And 18-20 year olds in Florida now cannot do that and it's perfectly constitutional.,-2,"Philadelphia, PA"
163,Would love to see the basis of this argument and then outcome. ,-2,"Queens, NY"
164,Does the NRA override the majority of Americans who oppose guns? #Parkland #notmyusa,-2,"Chicago, IL"
165,My annual fuck the NRA Tweet ,-2,"Spokane, WA"
166,"@hairykiwi420 @NativeTexan74 @Alyssa_Milano @NRA You're definitely a (not very) closeted racist. 
 Why do black people with guns scare you?",-2,"Fallon, NV"
167,"@AMike4761 ""The right to bear firearms shall not be INFRINGED..""",-2,"Colorado, USA"
168,@MiaFarrow @JuddApatow No. No they couldn’t. This is how you behave when you love money and guns more than your own children.,-2,"Bethesda, MD"
169,Samuel Jackson SCHOOLS Joy Behar on Gun control  via @YouTube,-2,"West Virginia, USA"
170,"In case any y'all wanna see what the other Twitter looks like, have yourselves a scroll ",-2,"Bronx, NY"
171,When your ex trying to do better but you refuse to let her grow. ,-2,"Randolph, MA"
172,I like to shoot guns....at a range. I will own a gun someday.   BUT my love is all weaponry.  ALL weaponry.,-2,"Manchester, MO"
173,"@Trumperland @davidhogg111 @rp4freedom1st @marcorubio @FLGovScott I think we should we taking care of our government like civilized human not with guns. In the first place , it’s not like we are wild animals. This is why we are protesting and making people accountable of their actions!",-2,"Beverly Hills, CA"
174,"@Acosta WTH? A lobbying group is suing a state to sell more guns. Even as 17
People were gun down in a school. @NRA is truly shameful.",-2,"South Carolina, USA"
175,@Franklin_Graham @lisawhynaught CALL A RAPPER. GUARANTEE YA THEY HAVE GUNS.,-2,"Pumpkin Center, NC"
176,@Legendarylow_ 🤣🤣🤣 ,-2,"Oxon Hill, MD"
177,@TopRopeTravis Really what did the nra do? Did they shoot and kill they didn’t sell guns so what’s your program? Thay train people how to safely use guns!,-2,"Ringwood, NJ"
178,Need to @expat urgently ,-2,"Alfred, NY"
179,"@RyanAFournier The democrat sharif and democrat party needed this for their fight against the NRA. CNN had a townhall show waiting to go for the public outcry against guns. The 17 dead were collateral damage, they let this kid do this",-2,"Alsip, IL"
180,"@realDonaldTrump Not even worth the time anymore.  He’s an absolute fucking joke.  I’ll check back in three years.  Fuck you 30% white trash motherfuckers.  Enjoy your dip, guns and siblings.",-2,"Manlius, NY"
181,"These are the words of a terrorist but he’s white, lives in America &amp; his words are protected by a 241 year old piece of paper so he will be applauded. Absolutely ridiculous! ",-2,"Norfolk, VA"
182,School attack in The Netherlands – no one gets hurt because it isn’t the US  via @dutchreviewing What this blogger failed to mention is the #Dutch constitution unlike the #American &amp; #Mexican constitutions guarantee gun rights.,-2,"Lansdowne, VA"
183,,-2,"Lansdowne, VA"
184,,-2,"Oklahoma, USA"
185,"@BreitbartLondon @KahunaHawaii Yes but they have the strongest gun control in the world. Only the people who BEAT, RAPE, PIMP &amp; KILL have guns. Oh yea also the terrorists. But non of the Law Abiding Citizens do.",-2,"Pennsylvania, USA"
186,@MayorLevine @FLGovScott Mayor Levine - you are a lying douche bag!! Assault rifles do not exist and are already illegal! U want to take guns away from law abiding Floridians? Like they did in Chicago? ,-2,"Florida, USA"
187,PEOPLE OF LOVE=manufacturing didn`t walk away man changed invented  the internet\then solar panel's \that young FLA. bunch have gave America GUN laws in 20 years=some child have MOTHER FOOD FOR YOU\\THINK,-2,"Hasbrouck Heights, NJ"
188,THIS IS ME 99.9% OF THE TIME!!! 😂😂😂 ,-2,"Georgia, USA"
189,"When the NRA politicized the slaughter of 5 year old children at Sandy Hook Elementary School, they became a terrorist organization.
The NRA supports gun manufacturers not gun owners, another “Bait and Switch” republican ploy you’ve fallen for. ",-2,"Salem, NH"
190,@jkimballcook They also claim that women are less likely tp commit school shootings and are therefore being unduly punished. It's a bizarre and weak argument. Isn't a disparate impact claim a constitutional one? ,-2,"Kentucky, USA"
191,@jkimballcook They also claim that women are less likely to commit school shootings and are therefore being unduly punished. It's a bizarre and weak argument. Isn't a disparate impact claim a constitutional one? ,-2,"Kentucky, USA"
192,I am so proud of our nations kids. ,-2,"Grace, WA"
193,"This man did exactly what trump did when he told his 2nd Amnd supporters they could go after Hillary. 
@JerryFalwellJr is telling millions of hate driven 
people, they shld get their conceal carry permit 2 
shoot Muslims. Falwell is inciting violence.This shld 
not be on tweeter. ",-2,"Hutto, TX"
194,No lie I gave finger guns to a guy I super like back in October and it still haunts me to this day.,-2,"Georgia, USA"
195,Oh Boy!!!! ,-2,"Massapequa, NY"
196,"@funder If he were really clinging to his bible/God, there would be no CLINGING to his guns, sounds like #IdolWorship to me...",-2,"Los Angeles, CA"
197,You too are the most ignorant and stupid people out there WOW ,-2,"Grand Island, NY"
198,"@DLoesch He should be a dentist, he probably knows more about teeth than he does firearms",-2,"Henderson, NV"
199,"@JahMekAWail @fred_guttenberg @Agreewithsegree He didn't say he was fighting guns. He's fighting gun violence. That includes everything you mentioned, and more.",-2,"Denton, TX"
200,These r our best. Bright with compassion. But apparently our guns r so very precious. ,-2,"San Francisco, CA"
201,"@DLoesch When people tell you they wouldn’t go to a school with teachers having a gun, do they fly on airplanes with pilots having guns?",-2,"Henderson, NV"
202,"@vgspitzer @PromiseRW @JoyAnnReid @thedailybeast Irrelevant at best, and unless I'm mistaken their very existence depends on remaining relevant and dictating the terms of our social conversations about guns. So, not at all doubtful.",-2,"Milwaukee, WI"
203,"I have a drivers license that periodically must be renewed, I pay for annual registration tabs, I am required to purchase insurance to cover the vehicle if it is causes injury, CDC research continually make vehicles safer

Why not require the same for guns? ",-2,"Duluth, MN"
204,The American way....But according to #They .... it’s the rapper way 🙄🙄🙄🙄 ,-2,"Brookhaven, GA"
205,"Virginia Politics

‘I don’t want to be shot and killed at my school’: Students’ voices dominate at gun-control forum. ",-2,"Annandale, VA"
206,"If this the logic we using then

Blacks deserve to be slaves since they sold each other

School shootings are justified if the students bullied the shooter

Rape is okay if a woman “started it but didn’t finish

Rihanna was a bloody mess
Chris wasn’t
They didn’t do the same thing ",-2,"Allendale, MI"
207,@neontaster Their parents own the guns.  Talk to them.,-2,"Hoover, AL"
208,Why don’t you just answer the question?  I didn’t know crack was legal to purchase.  If they are pls let us know.  Guns are legal to purchase.  Maybe start there. ,-2,"Irving, TX"
209,"Reasons I love this tweet:

1. Guns and Roses
2. Scrubs ",-2,"Oklahoma, USA"
210,This is unfortunate. The two gun bills they are trying to resurrect died in the process of conducting good government with transparency. This maneuver will not allow amendments in conference committee. It will simply be those in powering exerting their power. Undemocratic. ,-2,"Indianapolis, IN"
211,@lauren_hoggs You are a bright light of activism and patriotism! Don’t let anyone tell you any less or make you feel anything less! I support you and sane gun laws.,-2,"Madera Ranchos, CA"
212,Punish the law abiding citizens because of the actions of a criminal? Yeah what a joke. Just like your campaign. ,-2,"Orangetree, FL"
213,"@axios And well-deserved. What the hell are you talking about? Have you been living under a rock? Give me 3 examples of good things he's done &amp; I'll give you 50 bad: rolling back protections for our water, federal lands, allowing mentally ill to buy guns, using killer pesticides, on&amp;on!",-2,"Charleston, SC"
214,"@Boomer654 @politstrip @miriam_shir @lauren_hoggs 2 What we do know is that over 100,000 people every year are killed or injured from firearms in the US. Over 90% of children shot in developed countries occurs in the US. And the CDC is not legally allowed to study the affects of guns in the US thanks to Politicians on ...",-2,"North Ridgeville, OH"
215,It’s not funny especially when you have some one trying to teach you the essentials of knowledge.. they will learn one day... ,-2,"Chicago, IL"
216,"Photo caption: “The Wall of DEATH”!  Available in a community near you.

Question: How many guns of similar design, as those shown, have been used as a deterrent in an attempted home invasion?

Are there any statistics out there? ",-2,"Lansing, MI"
217,Drums and guns and guns and drums,-2,"District of Columbia, USA"
