Tweet,For guns?,Location,For guns,Against guns,Makes no sense
@monaeltahawy @KateHarding Those brides need some firearms for protection.,1.0,"Dearborn, MI",1,0,0
"@justneanie @zsixkillerk @Greg33270475 @skyzbabe1961 @MustacheChuck @HuevosDeChivo @RealJamesWoods @DNC You’re very naive if you truly believe this. There’s a history of the Left trying to ban guns, they jump at every opportunity, like the Parkland shooting, to attack gun ownership and the NRA.",1.0,"Missouri, USA",1,0,0
I used to think guns were load until I dropped the shampoo in the shower 😂,1.0,"Bryan, TX",1,0,0
#PresidentBoneSpur #cowardice is in full view #BogusPOTUS #GunReformNow ,0.0,"Napa, CA",0,1,0
@marcorubio @POTUS @realDonaldTrump Why do we need fast killing guns? Why do you need NRA $? ,0.0,"Iona, FL",0,1,0
"@paulbaker3 @KyleKashuv So suddenly certain guns have become self aware and are inherently evil. Am I getting this right.... holy shit this video is terrible. Misleading, factually inaccurate (about Australia), and just overall horrible. Paul we have our work cut out for us with this garbage propaganda",1.0,"Houston, TX",1,0,0
Can someone please tell me why #vaginas are more regulated than #guns? I’ll wait. #GunReformNow ,0.0,"Princeton, NJ",0,1,0
"@ananavarro @FLGovScott Laws will not stop bad people with guns.  Or knives. Or ball bats. Or cars. Or screwdrivers. Or crack cocaine. Or heroine. Or chloroform. Or hammers, &amp; hatchets, &amp; rope, classified emails, &amp; insider trading. Sometimes it’s a forest and tree thing. Nothing more",1.0,"Kentucky, USA",1,0,0
do u think we could get them to raise the minimum *wage* if we said people would use the extra money to buy guns ,0.0,"Richmond, CA",0,1,0
Trump has just flipped America off with his two fat tiny squatty middle fingers. ,0.0,"Wayland, MI",0,1,0
"Right, lets arm these Barney Fife wannabes and put kids in greater danger than exists now.
@GOP 
@RawStory ",0.0,"Webster, NY",0,1,0
@LociPanda Guns save more lives a year than they take! Genius!,0.0,"Pennsylvania, USA",0,1,0
"@CoryGardner MUST GO! 
#VoteThemOut 
#BlueWave2018 ",0.0,"Southglenn, CO",0,1,0
The Netherlands- as all other countries in the🌎- has neither 2A nor the  phuqn .@NRA‼️ Thus a good guy w/ a backpack beat a bad guy w/ a knife‼️ ,0.0,"Charlotte, NC",0,1,0
@CyrusToulabi Cave it is! Sad it is! I think they let Ric Scott sacrifice his new law to the @NRA lawsuit. @nra is suing on the grounds that putting artificial age limits on the purchase of long guns is unconstitutional. I believe the @nra lawsuit was a foregone conclusion.,0.0,"Alamogordo, NM",0,1,0
@odonnell_88 @ChuckingHell @NRATV @MrColionNoir The 2nd amendment is to protect against foreign invasion and provide the people a way guard against tyranny. The used arms to allow for tech advancements. I understand you may not agree with people having guns but to millions it’s totally natural.,1.0,"Holly Springs, MS",1,0,0
@YaakovMarramar Launder the money for the high level dealers. Guns “kill our kids” but I don’t see Trump supporters giving a shit.,0.0,"Yorba Linda, CA",0,1,0
"@larsoer @CNN He hasn't written an executive order because any gun laws have to go thru Congress. He was reacting hastily, just like the gun grabbers who blame the NRA and let the real morons responsible for the deaths get away scott free.",1.0,"Philadelphia, PA",1,0,0
I have no gun and very little money . I rejoined the NRA. #tcot ,0.0,"North Gates, NY",0,1,0
"White House Vows To Help Arm Teachers And Backs Off Raising Age For Buying Guns To Placate The NRA

#TrumpIsNRAPuppet",0.0,"New Port Richey, FL",0,1,0
2 Security Guards w guns one shot but didn’t hit anything. Suspect w a chain hits a random woman n cars as he tries to escape. This guy is a POS the guards should NOT be armed if they’re going to just fire off shots like this. Ridiculous! ,0.0,"Anchorage, AK",0,1,0
"I was just cleaning out my closet &amp; noticed my secured guns there in the back in their cabinet. I'm so proud of them. People keep saying guns are killing people but mine are just sitting there obediently, minding their own business. I think I raised them right. #2A #2ndAmendment",1.0,"Florida, USA",1,0,0
"Surprise!

This administration is about...
GIFTING not GOVERNING!

LOYALTY not LAW

TREASON not PATRIOTISM 

DECEPTION not TRUTH

This administration is deficating on everything American.

Somebody get me a plunger! ",0.0,"Delaware, USA",0,1,0
"And the final walk back from #Trump to the view of his masters at the @NRA. This administration will do nothing to advance any common sense or effective #GunReformNow, and will do squarely as they’re told. #NRAIsATerroristOrganization #NeverAgain

",0.0,"Pennsylvania, USA",0,1,0
"I’m sitting at a bar in Houston, Texas. Next to me is a group of 5 strangers debating gun laws, and they are split on gun ownership rights, but agree that no one should have automatics.  We are far more alike as people than social media would want us to believe.",0.0,"Houston, TX",0,1,0
"@TitusNation That there is no law that can be imposed that would actual stop the gun carnage.  We should instead invest heavily in mental health.  There are 300 million guns in America, a crazy shooter can get his hands on a gun even with gun control laws.",0.0,"Altamonte Springs, FL",0,1,0
This whole school walk out thing on guns is just pure none sense.,0.0,"Germantown, OH",0,1,0
@JJBUSC @TitusNation @scrowder Would you object to making it illegal to give guns to blind retarded children?,0.0,"North Carolina, USA",0,1,0
"@AnitaCreamer @kylegriffin1 To Trump and his ilk, minions and camp followers, the second amendment trumps the First Amendment. Guns kill speech.",0.0,"Plum, PA",0,1,0
@TitusNation  I think this video goes a great job of discussing the debate by replacing guns with cats.,1.0,"Minnesota, USA",1,0,0
"Just because I own 2.5-acres of ALASKA land doesn't mean I have to load up on guns, ammo, MREs, and live out of a wall tent in Tazlina year round like some whacked-out ""Below Zero"" survivalist. Whites mock me with, ""Defend your nigger country!"" but fuck what these assholes think.",0.0,"Anchorage, AK",0,1,0
@barefootboomer @lwrci 2/ all of these are semi automatic (except 870) long guns. So what difference does knowing an AR15 make?,1.0,"Pennsylvania, USA",1,0,0
Fully agree kiddo!! Keep on fighting! ,0.0,"Hacienda Heights, CA",0,1,0
If it is about safety in schools &amp; not gun control 1) gets to the real concern 2) opens up to solutions designed to solve the problem 3) starts a dialogue not a debate 4) puts politics last 5) puts children first,0.0,"Washington, DC",0,1,0
@krassenstein Exactly nothing will ever be done on guns and gun violence in the USA so we just wait til the next one. tick tock til the next lucky victims #GunDeathLottery,0.0,"Riverside, CA",0,1,0
@casey_erdman24 @DLoesch Don’t be mean to her She is very sensitive to criticism  Guns are okay when pointed at other people and said people die,0.0,"Queens, NY",0,1,0
"Yes because you must be a fertile woman to have an opinion on abortion, just like gun control advocates all own guns. Oh wait. ",1.0,"Georgia, USA",1,0,0
What’s the problem with banning guns? Like I genuinely want to know and I want to know how that is more important than people’s lives? ,0.0,"Ceres, CA",0,1,0
".@realDonaldTrump once again shows us what caving to the NRA looks like. #NRAownsPOTUS lock, stock &amp; barrel. ",0.0,"New York, USA",0,1,0
@tombrokaw @RichardLui Those kind of people care more about protecting their guns,0.0,"Los Angeles, CA",0,1,0
"How is advocating for safer schools so we don’t get fucking shot up attacking the 2nd amendment I’m pretty sure a “well regulated militia” does go around killing children. None of y’all little ass kids even own a gun, BYE. ",0.0,"Geneva, NY",0,1,0
"@DLoesch From friend : ""This is hilarious. @DLoesch, Miss ""I'm = tough cause I have guns,"" who sold her soul to the @NRA, is 2 much of a snowflake to listen to my words. Ive had many discussions with her about how her unfailing support for all guns to anyone would backfire...what a wimp.",0.0,"Florida, USA",0,1,0
"@monicavereana @TitusNation But the guns are already there.   So what law could you pass that would fix that problem.  If no further gun sales or manufactured occurred, there would still be over 2 million AR15s in the US",1.0,"Altamonte Springs, FL",1,0,0
"@thefolksathome2 @davidhogg111 True. Guns don’t kill people, bullets kill people. #GUNviolence kills people. #EndGunViolence #GunControlNow",0.0,"Sawgrass, FL",0,1,0
Guns don’t kill sick people kill take guns from sick people getting sick cops is put a stop to that shit is make the cop Campbell what day do they need to be locked up when I ask you to marry me no gun no knife,0.0,"Bay Point, CA",0,1,0
@TIME Teachers don’t want guns.  We want curriculum.  #teaching #noguns,0.0,"Emeryville, CA",0,1,0
@sophia_widda_ph What really upsets me is most of these kids arguing for gun laws haven ever shot a gun. Let alone take the time to understand what it takes to own one.,1.0,"California, USA",1,0,0
"@jfleit @realDonaldTrump As @Potus bows to the @NRA, it is up to us to back the students who dared to fight back against “thoughts and prayers” instead of #action against gun violence. #GunControlNow
.
",0.0,"Los Angeles, CA",0,1,0
"But driving is a privilege, it’s not a right. We have the right to bare arms cause we’re humans, and we have the right to defend ourselves. The 2nd amendment doesn’t give us the right to bare arms, it’s so the govt can’t make laws restricting our rights as people of the USA ",1.0,"Tennessee, USA",1,0,0
Trump fooled. The American people agean he thinks that he is a king.   And to me he is Hitler all over agen wake up america he is a grate deceiver a good lyera he neads to go hem and his gang puting guns in schools is the dumbest thing to do ,0.0,"Manchester, CT",0,1,0
Trump fooled. The American people agean he thinks that he is a king.   And to me he is Hitler all over agen wake up america he is a grate deceiver a good lyera he neads to go hem and his gang puting guns in schools is the dumbest thing to do ,0.0,"Manchester, CT",0,1,0
"@SenFeinstein You keep saying gun reform. .. it's gun control that we need,  but so far , Noone in congress is brave enough to draft a gun bill...... what is taking so long?   Waiting for the next  disaster",0.0,"Florida, USA",0,1,0
Magazine clips? Anti-gunners understand guns like toddlers understand where babies come from. ,1.0,"Alabama, USA",1,0,0
@morningmoneyben @kathygriffin Awwwhh - cut @BetsyDeVos a break ... she’s got all these schools that are going to now need firearms &amp; tactical training!She can’t be everywhere doing everything for crissakes!!! #NotMyPresident #GunReformNow,0.0,"Carmel, NY",0,1,0
#EnoughIsEnough =I don't wanna do my homework. Yes you have a voice. Guns will not go away because it is a right. Yes things need to change but you walking out ain't gonna do a thing.,1.0,"Nampa, ID",1,0,0
@bradaevans80 @SenSchumer @MrsTESS1 @WhiteHouse @NRA @SenateDems Guns in the olympics? That’s a controlled environment. I don’t have a problem with hunters. But nobody is hunting with a hand gun or an AR-15.,0.0,"New Iberia, LA",0,1,0
I’m 100x more done with this administration ,0.0,"West Covina, CA",0,1,0
"This is what the NRA is doing to our children. What is your definition of terror? Beyond shameful that America loves it’s guns more than kids having peaceful lives. 
#USFail 
#SaveUS 
#GunReformNow 
#CongressMustAct
#NRAIsATerroristOrganization ",0.0,"Athens, OH",0,1,0
"What he saying goes against the basic values of Christianity... I don't understand how you can be a preacher, and also be as revolting as a serpent... horrifying ",0.0,"New Orleans, LA",0,1,0
"@monicavereana @TitusNation I want all of that and more.  But unless you get rid of the guns  that are already in circulation, none of what you said above will stop the carnage.",1.0,"Altamonte Springs, FL",1,0,0
don’t forget to wear black tomorrow @ jhhs students to honor and remember those who lost their lives due to school shootings. #UPtoUS ,0.0,"Fontana, CA",0,1,0
@realDonalfTrump Seriously are we going to allow an organization Control our laws? ,0.0,"Tool, TX",0,1,0
This boy is dumb as a rock - he needs to understand what the 2nd admen is all about. All he wants is attention. Guns are not the problem people are. ,1.0,"Gallatin, TN",1,0,0
@maurjoh15 @Joseforchange @gabino_58 @KyleKashuv And if u butt fuck libs cared about the school kids u wouldn’t parade them out for gun control!  Nice try though!,1.0,"Waterville, OH",1,0,0
"@cameraNbrush @jayyatesx @lexforchange Ugh. The kids advocating for gun control are being productive. Kyle can be opposed, but it doesn't make them counter productive. Word choice matters. You don't get to make substitutions for his word choice and its meaning.",0.0,"Los Angeles, CA",0,1,0
Too many laws already!  That’s what got us here. ‘Gun free zones ‘. Biggest BS law ever passed. ,1.0,"California, USA",1,0,0
"Via @lesliebrody: “I wish there were no guns so people couldn’t suffer,” said 8-year-old Gabriel Chibane. “It doesn’t make sense. Why shouldn’t they have a longer life instead of just a short life?” ",0.0,"Ann Arbor, MI",0,1,0
"@RVAwonk @pudderboy Someone needs to tell me when the Democrats ever wanted to repeal 2A. They just want sensible gun control.  Is that too hard for the GOP to understand?? Oh wait, yes it is ...",0.0,"North Port, FL",0,1,0
"@dyllyp If only the ""we need guns to protect against tyranny"" argument could be used as a starting point for guns rights advocates to see where POC are coming from when they identify police abuse and institutionalised racism. But it's not really about tyr",0.0,"Oakland, CA",0,1,0
"""GuN cOnTrOl LaWs DoN't ChAnGe AnYtHiNg!!!! we have our riGHTS!!! I only love my guns anD MY TRUCK!!! here my reBEL YELL"" ",1.0,"Virginia, USA",1,0,0
Yes it would be if the narrative was to save One Life. However the real narrative is to disarm the Citizens. ,0.0,"Delray Beach, FL",0,1,0
@kron4news  The murderer was being treated for PTSD and was able to obtain guns @Raul_Labrador,0.0,"Boise, ID",0,1,0
Give up your Guns Schumer. ,0.0,"Delray Beach, FL",0,1,0
"""GuN cOnTrOl LaWs DoN't ChAnGe AnYtHiNg!!!! we have our riGHTS!!! I only love my guns anD MY TRUCK!!! hear my reBEL YELL"" ",1.0,"Virginia, USA",1,0,0
"@Lawrence Legal gun owners have rights, too. ",1.0,"Tustin, CA",1,0,0
@DearAuntCrabby That’s just an old and cheap sound bite.  No one has ever wanted nor suggested we take away guns you have!  Boring sound bite!,1.0,"Cathedral City, CA",1,0,0
@ChieroJoseph @OttoJRainer @EricPerry54 @NRA @GovMalloyOffice You will only be hurting the law abiding citizens do you think the hoodrats will give up their guns the criminals are the problem not the guns or law abiding citizens or the 2nd amendment or th,1.0,"Virginia, USA",1,0,0
"@realDonaldTrump Next you’ll be suggesting all doctors and nurses to carry guns, right?",0.0,"San Francisco, CA",0,1,0
@1nvisiblePink @DLoesch All this pablum about stricter gun laws. When are all you Kool-Aid drinkers going to work to protect children? We have 10K gun laws and none worked. What will more gun laws do?,1.0,"Manchester, NH",1,0,0
@AZEricka @DoctorShimapan @neontaster So it shows that somewhere short of 1/3 of those homicides are firearm-related. So obviously saying guns are the third most common cause is false. No one benefits by misstating statistics. The point can still be made ,1.0,"Oregon, USA",1,0,0
"@RepSwalwell @NRA As @realDonaldTrump bows to the #NRA, it is up to us to back the students who dared to fight back against “thoughts and prayers” instead of action against gun violence. #NRABloodMoney
.
",0.0,"Los Angeles, CA",0,1,0
All that's missing are swastikas and burning torches. America? ,0.0,"Baltimore, MD",0,1,0
This is a blatant attempt to diminish students’ rights to free speech and assembly. Rest assured that we will not be silenced and we will see you after we walk out to demand (not request) safety for ALL students in OUR schools. ,0.0,"Atlanta, GA",0,1,0
"I want to take your guns, re-educate all conservatives, force you to accept non-white + LGBTQ + immigrants as equal Americans, destroy fossil fuel energy sources, institute universal health care, and end all imperialistic military campaigns. ",0.0,"Annapolis, MD",0,1,0
"What is the best option if a person slips through that system, hmmmmmm any ideas? I know! Eliminate military weapons from hands of civilians is more effective. I’ll listen to more of your ideas when you listen to the people you represent instead of the NRA. ",0.0,"Kyle, TX",0,1,0
"This. I  don't want the 2nd amendment gone at all. I  dont want all guns gone. Just sensible gun control. No bump stocks,  no military style, background checks, waiting periods, and an age limit. A buy back program, it works in other countries! ",0.0,"Washington, USA",0,1,0
@teemcee @DwyaneWade @carmeloanthony Please tell me why we have the strictest gun laws in our history but only in the last 30 yrs have we had these major issues when the guns have been mostly unchanged....what’s changed?,1.0,"Florida, USA",1,0,0
@Politics_PR @LisaVanderpump Crap on cracker !! That’s a lot of guns !! Hurry !! Destroy all those guns 🧐!!,0.0,"Lake Worth, FL",0,1,0
@TomiLahren Is this why we are for gun laws ?.,0.0,"Dubuque, IA",0,1,0
"This is hilarious. @DLoesch, Miss ""I'm = tough cause I have guns,"" who sold her soul to the @NRA, is 2 much of a snowflake to listen to my words. Ive had many discussions with her about how her unfailing support for all guns to anyone would backfire.  Im blocked ~ Kurt Eichenwald",0.0,"Whitewater, WI",0,1,0
@Education4Libs So do drug overdoses!   More than being killed by guns and car accidents.,1.0,"Los Angeles, CA",1,0,0
Maybe there’s a thing called the 2nd amendment and that gun control doesn’t work bc look at Chicago ,1.0,"La Mirada, CA",1,0,0
"@DLoesch This is hilarious. @DLoesch, Miss ""I'm = tough cause I have guns,"" who sold her soul to the @NRA, is 2 much of a snowflake to listen to my words. Ive had many discussions with her about how her unfailing support for all guns to anyone would backf",0.0,"California, USA",0,1,0
Sweeeeet!! Hot Drunk Chicks r just laying around. Like some people think that guns are just lying around about to be picked up.  Only the first one seems true ,0.0,"Evans, CO",0,1,0
"Oh shut UP, they were terrorized &amp; watched their classmates get murdered at school. Did you have this same outrage when white supremacists were marching through Charleston last year with LITERAL SWASTIKAS on their arms??? ",0.0,"Kent, OH",0,1,0
"@njh2005 @NRA Because I watch NRA leaders like Wayne LaPierre call for more guns after each new shooting, while his organization lobbies against ANY common sense restrictions. If you can't see that, you're hopelessly blind.",0.0,"Franklin, MA",0,1,0
"@lauren_hoggs @davidhogg111 Aww, look at that - arm bands just like the Hitler youth. Interesting fact - Hitler used children to take guns out of the #German #Citizens #Hands. ",0.0,"San Diego, CA",0,1,0
"@BernieSanders Fight back Arizona lead our country never to give up our guns. Bernie Sanders told us fight, fight and fight harder.",1.0,"Wayne, NJ",1,0,0
@realDonaldTrump  You can not take away the gun rights of a 18 year old!! If you can get your ass shot off in the military you can damn sure buy a gun. Please reconsider. It’s a mental health issue not age.,1.0,"Manassas, VA",1,0,0
"@thelongversion @GotchYaSon @BuzzFeedNews B U L L S H I T.

The NRA is the main reason there are over 300 million firearms in the US.  Without their PROPAGANDA of creating nonexistent BOGEYMEN there would probably be less than 100 million firearms i",0.0,"Marlboro, NJ",0,1,0
u kno what else stops a beating heart? gUnS 🙃 ,0.0,"Sacramento, CA",0,1,0
35 teachers in my district just lost their jobs due to lack of state funding. Can’t wait to see if Illinois finds money for guns guns guns. ,0.0,"Yorkville, IL",0,1,0
"LOL a protest while everyone is at work, at 10 in the morning, outside @SenToomey ’s office demanding all semi auto firearms be banned, including all pistols.

Can think of a billion things more productive to do with my time. @ChrisLoesch @DLoesch ",1.0,"Fishtown, Philadelphia",1,0,0
"Last time I checked my PTSD doesn’t make me someone who has an uncontrollable urge to create hostage situations and murder people but ¯\_(ツ)_/¯ 
We need gun control but need to stop saying that all mentally ill people are natural monsters ",0.0,"Boston, MA",0,1,0
@elephanthound I worked with mentally ill adults. Gun laws are desperately needed. Start with all the mentally ill Trumps...,0.0,"Chicago, IL",0,1,0
"Didn't @realDonaldTrump promise to take swift ACTION to enact new gun safety laws? Hoping this will be honored soon - - great to see him spending time on ""related"" items such as the impact of video games on violence lol Sounds like something @DLoesch would suggest #NeverAgain ",0.0,"Delray Beach, FL",0,1,0
@ays66683 @Alyssa_Milano There was an armed officer at the Florida school so having an armed officer wasn’t the answer when someone has an assault rifle. So it wasn’t a gun free zone. The answer is a gun problem is not more guns but limiting the type and ,0.0,"Merrick, NY",0,1,0
Lamb opposes a min wage increase &amp; is pro-guns. I hope he loses. ,0.0,"Darby, PA",0,1,0
Oh.  I can tell your afraid of losing your guns.  May I suggest you shove them up your ass.  Keep yourself n the NRA in check.   Your a fool to try to comfort someone who’s lost a child ,0.0,"Baltimore, MD",0,1,0
@SecretaryZinke corrupt as the day is long. Hope the door whacks the bejesus out of you - you know that thing you cling to when it's convenient. Like your guns &amp; the Bible... ,0.0,"Boca Raton, FL",0,1,0
@TIME Playing with guns are fun! Dumb parents!,0.0,"Danville, CA",0,1,0
@EmilyDamiano91 Pro gun control!  Not anti-gun!,0.0,"Carlisle, PA",0,1,0
"Nevada County's Indivisible Women listening to Amanda Wilcox talk about the loss of her daughter to gun violence in 2001. On average, 96 people per day are lost to gun violence in America. We need common sense gun safety laws. We need elected officials who care about this issue. ",0.0,"Grass Valley, CA",0,1,0
“Calm down... nobody is trying to take your guns.” ,1.0,"Middletown, CT",1,0,0
"My thoughts: I don’t oppose raising the age for purchasing guns of any kind to 21. However, if we do this, the military needs to raise the enlistment age and the voting age to 21 as well. Not old enough to buy a gun=not old enough to serve or vote.",0.0,"Louisiana, USA",0,1,0
Reversing climate change. Protection for Dreamers. Expansion of the ACA. A tax code that benefits the 98%. Common sense guns laws. An end to police brutality. Everything that you are not. ,1.0,"Ashland, OR",1,0,0
"@RealJamesWoods @madd I admire your dedication to animals Mr. Woods.  It shows me you have a conscience.  I wish you would support gun control also, so each year we wouldn’t have to bury so many people, especially children, who die as a result of gun viol",1.0,"Mathis, TX",1,0,0
"@RealMuckmaker @Solutioneer72 @CNN Not Students, but still HUMAN, Age,heritage,skin color,religion- does not matter! Every family, state, person sue NRA for home grown terrorism, Lawmakers that support their guns and don;t pass gun violence laws, make the",0.0,"Ohio, USA",0,1,0
@Liz_Wheeler No gun control is necessary,1.0,"Texas, USA",1,0,0
"@plaqtini @KamalaHarris Banning guns works really well. Chicago has banned guns also. you have me mixed up I never mentioned mental health. Don’t debate the second amendment with me, try the Supreme Court.",0.0,"Solvang, CA",0,1,0
Focus on changing the ignorant minds who feel the need guns an assault rifles.   You cowards. We’re sick of you living in denial.    Guns Kill People an innocent children ,0.0,"Baltimore, MD",0,1,0
"What’s it matter?.. #Obama tried diplomacy and ingenuity on multiple fronts and people called him weak for it… you win, you all win, all you #nra and #trump supporters who want your precious guns so bad.. buy em all and point em at each other for all I care, nobody wants change. ",0.0,"Easley, SC",0,1,0
Florida is getting sued for raising the age of purchase of guns.I agree with them but that's not what the constitution says and the NRA is going to win it will be settled out of  was a stupid move (Florida) you can't win that law is dropped.,0.0,"Tuscaloosa, AL",0,1,0
@cnnbrk HELLO THE REPUBLAINS ARE GOING TOO WIN ON TUEDAY BECAISE WE ARE KEEPING GUNS AND THE NRA ALSO THEY ARE STAYING FOR GOOD IN WASGTON DC,1.0,"Brighton, NY",1,0,0
"#NRAIsATerroristOrganization 
#NRABloodMoney ",0.0,"Berea, KY",0,1,0
@cnnbrk HELLO WE NEED GUNS IN SCHOOLS ALSO FOR TEACHERS SOO THEY CAN CARRY THEM AROUND TOO BE SAFE ALSO THIS IS A GOOD THING TOO DOO,1.0,"Brighton, NY",1,0,0
So if there were no guns would anyone get shot?,0.0,"Indiana, USA",0,1,0
#JOINTHENRATODAY ,1.0,"Texas, USA",1,0,0
"Wants guns banned, wears armbands, looks like a fuckin twat. Hitler did the same thing ",1.0,"Gainesville, FL",1,0,0
